# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^3, shear rate = 1
# nu  p      s      T       I    CN       k
0.520 2.5328 1.1232 0.2562 0.6283 0.02350 1e7
0.540 3.5449 1.4907 0.2737 0.5311 0.03526 1e7
0.560 5.5847 2.2808 0.3095 0.4232 0.06198 1e7
0.580 11.7674 4.3199 0.3920 0.2915 0.14907 1e7
0.600 40.4790 11.8450 0.6588 0.1572 0.53019 1e7
0.620 504.6485 108.1589 2.1534 0.0445 2.43402 1e7
0.630 4824.2383 799.6217 7.5711 0.0144 4.50410 1e7
0.634 10305.2883 1581.6030 11.8582 0.0099 5.09760 1e7
0.636 15082.7920 2183.3629 15.7986 0.0081 5.37854 1e7
0.638 20808.3422 2901.9349 19.5186 0.0069 5.61221 1e7
0.640 25657.0064 3473.0884 22.4087 0.0062 5.76338 1e7
0.650 58191.1817 7142.8381 36.5323 0.0041 6.43360 1e7
0.660 101401.7336 11086.5719 50.4846 0.0031 6.88055 1e7
0.670 148887.9496 15539.8241 57.1483 0.0026 7.23803 1e7
0.680 202098.4968 19406.0961 72.6911 0.0022 7.53035 1e7
